0.000000 12756200.000000 0.000000 0.000000
0.010000 12756200.050168 0.013957 -0.006388
0.020000 14036103.439093 -4422460.066066 -81481.677071
0.030000 -7308469.957132 -5819572.733861 216615.257438
0.040000 -91093902.954022 357658225.564764 -10263856.356237
0.050000 -27265801.834003 -11607988.586110 432921.337153
0.060000 -199541904.148262 731176373.179568 -20508814.363063
0.070000 -47210346.573600 -17392692.274123 649209.967366
0.080000 -308667505.732062 1107030507.876190 -30760421.807593
0.090000 -67151200.638324 -23176324.500093 865495.312580
0.100000 -418033793.006429 1483714421.581248 -41013608.727976
0.110000 -87090521.816175 -28959511.695701 1081779.646655
0.120000 -527511680.933428 1860783092.439956 -51267344.056332
0.130000 -107029066.158265 -34742473.356351 1298063.573872
0.140000 -637050119.509065 2238060521.456300 -61521316.900492
0.150000 -126967164.176721 -40525305.437007 1514347.307304
0.160000 -746625000.356313 2615463592.002886 -71775408.623994
0.170000 -146904982.629003 -46308056.351478 1730630.937089
0.180000 -856223488.752841 2992948054.396928 -82029566.239387
0.190000 -166842614.564687 -52090753.114532 1946914.506544
0.200000 -965838134.002618 3370488221.055800 -92283763.253941
0.210000 -186780115.931991 -57873411.969507 2163198.038543
0.220000 -1075464318.000345 3748068170.175691 -102537985.247483
0.230000 -206717522.367927 -63656043.262868 2379481.546079
0.240000 -1185099027.489964 4125677512.940057 -112792223.832955
0.250000 -226654857.637655 -69438653.894358 2595765.036968
0.260000 -1294740213.341530 4503309184.533360 -123046473.865659
0.270000 -246592138.193004 -75221248.640449 2812048.516140
0.280000 -1404386433.836013 4880958214.307533 -133300732.048934
0.290000 -266529375.782192 -81003830.912021 3028331.986829
0.300000 -1514036645.297526 5258621003.949738 -143554996.191828
0.310000 -286466579.017337 -86786403.209448 3244615.451224
0.320000 -1623690073.684030 5636294884.767270 -153809264.792481
0.330000 -306403754.354712 -92568967.407196 3460898.910853
0.340000 -1733346132.846227 6013977835.869019 -164063536.793673
0.350000 -326340906.729177 -98351524.938017 3677182.366808
0.360000 -1843004370.807432 6391668298.954318 -174317811.433806
0.370000 -346278039.977144 -104134076.915750 3893465.819883
0.380000 -1952664433.468742 6769365053.178825 -184572088.153039
