0.000000 12756200.000000 0.000000 0.000000
0.010000 12756201.461203 0.324155 -0.148352
0.020000 18096095.111396 5339893.974348 5339893.501841
0.030000 8946406.409086 -3809794.727962 -3809795.200469
0.040000 57824904.818930 45068703.681882 45068703.209375
0.050000 143711137.354641 130954936.217593 130954935.745086
0.060000 229687491.645326 216931290.508278 216931290.035771
0.070000 315678624.884926 302922423.747878 302922423.275371
0.080000 401674762.644187 388918561.507139 388918561.034632
0.090000 487673186.650980 474916985.513931 474916985.041424
0.100000 573672844.703345 560916643.566296 560916643.093789
0.110000 659673244.250903 646917043.113855 646917042.641348
0.120000 745674124.052500 732917922.915451 732917922.442944
0.130000 831675332.677654 818919131.540605 818919131.068098
0.140000 917676776.300799 904920575.163750 904920574.691243
0.150000 1003678393.690290 990922192.553242 990922192.080735
0.160000 1089680143.186605 1076923942.049557 1076923941.577050
0.170000 1175681995.461231 1162925794.324183 1162925793.851676
0.180000 1261683929.268752 1248927728.131703 1248927727.659196
0.190000 1347685928.841729 1334929727.704681 1334929727.232174
0.200000 1433687982.232086 1420931781.095037 1420931780.622530
0.210000 1519690080.220696 1506933879.083647 1506933878.611140
0.220000 1605692215.580362 1592936014.443314 1592936013.970807
0.230000 1691694382.565412 1678938181.428364 1678938180.955857
0.240000 1777696576.550578 1764940375.413529 1764940374.941022
0.250000 1863698793.770598 1850942592.633549 1850942592.161042
0.260000 1949701031.129212 1936944829.992164 1936944829.519657
0.270000 2035703286.056900 2022947084.919852 2022947084.447345
0.280000 2121705556.403439 2108949355.266391 2108949354.793884
0.290000 2207707840.355730 2194951639.218681 2194951638.746174
0.300000 2293710136.374218 2280953935.237170 2280953934.764663
0.310000 2379712443.143185 2366956242.006137 2366956241.533630
0.320000 2465714759.531491 2452958558.394443 2452958557.921936
0.330000 2551717084.561307 2538960883.424259 2538960882.951752
0.340000 2637719417.382993 2624963216.245945 2624963215.773438
0.350000 2723721757.254755 2710965556.117707 2710965555.645200
0.360000 2809724103.526063 2796967902.389015 2796967901.916508
0.370000 2895726455.624034 2882970254.486986 2882970254.014479
0.380000 2981728813.042181 2968972611.905133 2968972611.432626
0.390000 3067731175.331069 3054974974.194020 3054974973.721513
0.400000 3153733542.090494 3140977340.953446 3140977340.480939
0.410000 3239735912.962933 3226979711.825884 3226979711.353377
0.420000 3325738287.627991 3312982086.490943 3312982086.018436
0.430000 3411740665.797712 3398984464.660664 3398984464.188157
0.440000 3497743047.212568 3484986846.075520 3484986845.603013
0.450000 3583745431.638041 3570989230.500993 3570989230.028486
0.460000 3669747818.861678 3656991617.724630 3656991617.252123
0.470000 3755750208.690556 3742994007.553507 3742994007.081000
0.480000 3841752600.949088 3828996399.812039 3828996399.339532
0.490000 3927754995.477120 3914998794.340072 3914998793.867565
0.500000 4013757392.128273 4001001190.991224 4001001190.518717
0.510000 4099759790.768487 4087003589.631439 4087003589.158932
0.520000 4185762191.274760 4173005990.137712 4173005989.665205
0.530000 4271764593.534024 4259008392.396976 4259008391.924469
0.540000 4357766997.442167 4345010796.305119 4345010795.832612
0.550000 4443769402.903160 4431013201.766111 4431013201.293605
0.560000 4529771809.828289 4517015608.691240 4517015608.218734
0.570000 4615774218.135472 4603018016.998424 4603018016.525917
0.580000 4701776627.748650 4689020426.611601 4689020426.139094
0.590000 4787779038.597242 4775022837.460194 4775022836.987687
0.600000 4873781450.615667 4861025249.478619 4861025249.006112
0.610000 4959783863.742903 4947027662.605854 4947027662.133348
0.620000 5045786277.922098 5033030076.785049 5033030076.312543
0.630000 5131788693.100225 5119032491.963177 5119032491.490670
0.640000 5217791109.227759 5205034908.090711 5205034907.618204
0.650000 5303793526.258397 5291037325.121348 5291037324.648842
0.660000 5389795944.148798 5377039743.011749 5377039742.539243
0.670000 5475798362.858351 5463042161.721302 5463042161.248796
0.680000 5561800782.348963 5549044581.211914 5549044580.739408
0.690000 5647803202.584867 5635047001.447819 5635047000.975312
0.700000 5733805623.532448 5721049422.395399 5721049421.922893
0.710000 5819808045.160080 5807051844.023031 5807051843.550525
0.720000 5905810467.437985 5893054266.300937 5893054265.828430
0.730000 5991812890.338100 5979056689.201052 5979056688.728545
0.740000 6077815313.833952 6065059112.696903 6065059112.224397
0.750000 6163817737.900549 6151061536.763500 6151061536.290994
0.760000 6249820162.514277 6237063961.377229 6237063960.904722
0.770000 6335822587.652809 6323066386.515760 6323066386.043254
0.780000 6421825013.295015 6409068812.157967 6409068811.685460
0.790000 6507827439.420885 6495071238.283836 6495071237.811330
0.800000 6593829866.011455 6581073664.874406 6581073664.401899
0.810000 6679832293.048738 6667076091.911689 6667076091.439182
0.820000 6765834720.515665 6753078519.378616 6753078518.906110
0.830000 6851837148.396027 6839080947.258978 6839080946.786471
0.840000 6937839576.674417 6925083375.537369 6925083375.064862
0.850000 7023842005.336188 7011085804.199140 7011085803.726633
0.860000 7109844434.367400 7097088233.230351 7097088232.757845
0.870000 7195846863.754781 7183090662.617732 7183090662.145226
0.880000 7281849293.485687 7269093092.348639 7269093091.876132
0.890000 7367851723.548068 7355095522.411019 7355095521.938513
0.900000 7453854153.930429 7441097952.793380 7441097952.320873
0.910000 7539856584.621799 7527100383.484751 7527100383.012244
0.920000 7625859015.611708 7613102814.474659 7613102814.002152
0.930000 7711861446.890147 7699105245.753098 7699105245.280592
0.940000 7797863878.447555 7785107677.310506 7785107676.837999
0.950000 7883866310.274785 7871110109.137736 7871110108.665230
0.960000 7969868742.363089 7957112541.226040 7957112540.753533
0.970000 8055871174.704089 8043114973.567040 8043114973.094534
